"energy","k","L_bins","Daa"
516.0219872,20,5,0.0009711023342228137
516.0219872,20,6,0.0016749363374884414
557.1834824,20,5,0.00044284967525236264
557.1834824,20,6,0.000763817557619989
598.3449776,20,5,0.00030856879462851073
598.3449776,20,6,0.0005322127941870617
639.5064728,20,5,0.00023884776009623428
639.5064728,20,6,0.0004119594592809568
680.667968,20,5,0.00019438564636976185
680.667968,20,6,0.000335272165576104
721.8294632,20,5,0.00016302282647257224
721.8294632,20,6,0.00028117825102079685
762.9909584000001,20,5,0.00013953013982491422
762.9909584000001,20,6,0.00024065857235800866
804.1524536,20,5,0.00012121542905474869
804.1524536,20,6,0.00020906975468299856
845.3139487999999,20,5,0.00010652372833429124
845.3139487999999,20,6,0.00018372982651168677
886.4754439999999,20,5,0.00009448206575444949
886.4754439999999,20,6,0.00016296062690421859
927.6369391999999,20,5,0.00008444473483525929
927.6369391999999,20,6,0.00014564845526640377
968.7984343999999,20,5,0.000075963493377268
968.7984343999999,20,6,0.0001310201931313201
1009.9599296,20,5,0.00006871594451667677
1009.9599296,20,6,0.00011851977734965856
1051.1214247999999,20,5,0.00006246347212379202
1051.1214247999999,20,6,0.00010773564797325533
1092.2829199999999,20,5,0.00005702525748422819
1092.2829199999999,20,6,0.00009835593278787601
1133.4444151999999,20,5,0.00005226154946512616
1133.4444151999999,20,6,0.00009013959205714884
1174.6059104,20,5,0.000048062512120003185
1174.6059104,20,6,0.00008289718311221909
1215.7674056,20,5,0.00004434056806845956
1215.7674056,20,6,0.00007647765437839258
1256.9289007999998,20,5,0.00004102500731043745
1256.9289007999998,20,6,0.00007075904677437894
1298.0903959999998,20,5,0.00003805810708725067
1298.0903959999998,20,6,0.00006564180133237807
1339.2518912,20,5,0.0000353922852509701
1339.2518912,20,6,0.00006104384939106183
1380.4133864,20,5,0.000032987976296561886
1380.4133864,20,6,0.0000568969492216682
1421.5748816,20,5,0.00003081202267052489
1421.5748816,20,6,0.000053143911391874583
1462.7363768,20,5,0.000028836439932291185
1462.7363768,20,6,0.00004973646894284498
1503.8978720000002,20,5,0.000027037457420699376
1503.8978720000002,20,6,0.00004663362275147751
1545.0593672,20,5,0.00002539476481962134
1545.0593672,20,6,0.00004380034202306591
1586.2208624,20,5,0.000023890914569796702
1586.2208624,20,6,0.00004120653358413527
1627.3823575999998,20,5,0.00002251084361153583
1627.3823575999998,20,6,0.00003882621699458287
1668.5438527999997,20,5,0.000021241487466811625
1668.5438527999997,20,6,0.000036636858924802986
1709.705348,20,5,0.00002007146646794832
1709.705348,20,6,0.00003461883196970452
1750.8668432,20,5,0.000018990828858803735
1750.8668432,20,6,0.00003275497155517729
1792.0283383999997,20,5,0.00001799083909697174
1792.0283383999997,20,6,0.000031030210806301864
1833.1898335999997,20,5,0.0000170638023543622
1833.1898335999997,20,6,0.00002943127784973934
1874.3513288,20,5,0.000016202918211470757
1874.3513288,20,6,0.000027946443468767073
1915.512824,20,5,0.000015402158051017023
1915.512824,20,6,0.00002656530963447305
1956.6743192,20,5,0.000014656161808798202
1956.6743192,20,6,0.000025278631423857754
1997.8358144,20,5,0.000013960150625985218
1997.8358144,20,6,0.0000240781663644006
2038.9973095999999,20,5,0.000013309852634396542
2038.9973095999999,20,6,0.000022956546430102597
2080.1588048,20,5,0.000012701439643189925
2080.1588048,20,6,0.000021907168840059462
2121.3203,20,5,0.000012131472917742664
2121.3203,20,6,0.000020924102539045016
